v_pnr,v_mor_pnr,v_far_pnr,sosk,sosk_type
227ecd2d57b5dc1ae56f27d0740147d816992e92c176f91bcba2bd20209b0db6,49d6c431110369e12d30ddbf14042853653db1bedf331c320f1ab4d5bad74a4c,7894f79ffb8b28d22a26730b3ee8f0cf6a65cdde154078cf01ad6388f4d39857,INVALID,1
86727ca1f1,e20ec1e3d93186acd5d97242d763ef8f960647a1c51375b4993b34c8735ba6de,706712e4abeeba61c7b604e6d75e987cd83197aac9aebfa4ef6adbc40bad2903,INVALID,1
49fd6342ffa0806441a0c200b78532a5ba4f4313ed3c713c8fc34031812e7b1f,INVALID,b4bb6033d0a3ffdf27dc7ef8ea4ee1b62de78bc9263373d394a3c8dcd6af435d,c541268337a22c10bade6d5eb7c7672fc182a1c7e643cfdaf40400b4b76af910,1
efa3cae49572ae9b9a31438474c5c54abb8e4faa7527108778f14319b19c30f0,cfdea5cb4241eabc55b1ba00e1f590d3de3d5b4c34a965e3de874898e085e2a6,309a551e70a7582e0552a6c44442b30452f98ae2fbab6c1729a548e1a8e97c8e,0a72aa03a5fccccdcfde900ff672e830e6a0b3860b57e67650f000e0feaefed7,5
420dc399906976d15e283cd9672051429460498ecdf46159b7c58c5560fb2e1f,c5fc393deb840713a4f43d5fe8fbf74bac6c8165b47ea9261b557da5823a2859,9c6fb144d674a45c980be36dc6a87e2a1f50e565a6eee32a0668ddcd0cfc85c4,39b1761a9207ce48f6c88dc40aa04c6f83be226829a71e30ea6aff4a6be3064c,2
2411cdeab6a084f55245f7c1e6e58a803b18a8fbc41262c24b987c72bab01d08,7af7004857d2ca9e02cdeb6e8f8942e53164b7a96569a6abea1a8ebefe643b63,7281b119242edbf71ab959bab1289d9eb5c0badd074ddf4e389f9b0f46a7b827,264ca08fcea1f721175696a18b2cbc6d22f2ec2c5761fc92b4efcc127ab3e2f8,2
56dcb9fa03d434ba564c5bfd7178348443111df5afa822d7c9a185fa6a53b57d,3a2f3b8212900634645c334fc1ff68c16241188a818361978e5c4fe0d4f11db8,9c6b12764e6fdb7cf5b69cb8468cf17f129365a89df41a075b0a14737a9c98bd,3428d3bb7f0ea178d21f16635ade2d11604021663388f964f6fa6fddf54702b9,2
439fcc6d086b71da095e3569a8a1266f1fbe041d58b49ca40ac1f760c0632441,58a42d40a732a200cb31575a12bc0a7356fe86e824d8fe86bdd0f53b3b54cc90,INVALID,86b1496161126a80b7dc98b59b27de7f0fd31630eadbb4b479901e32f2d1c823,5
fabe5fca09a3000ddc93499abadba07370a5d5005dd40fe4363ea4a3c0feda93,bd7e35be3771c6bdb331086cb478b1f7c25b44825263e291e8d581e4bcd69235,012a8340975f185ae46d47aea2059b2e40875de8929f73df225d17bf6bd151a9,81d0db78b3d81be9f0d5e31cc1490d574510d75b5dd1c37ee994f857ada44e3f,3
b16d657aa2d862dca598eb7e5fb7a416a0bcc46e563736e3aff7fc43d4cd8c33,162e7ddc096f76f91aef51101a167ad31ce9efccae67a165755e2827811909d5,f84162d1ce60ecfbe87a9f050385d40d11fafc3cd8fe0deccbb2614d22ceec38,d5cab94db6897b9085eda9361143c0819d61f41a61dc09608a2d545b6818c2be,1
735dd5ebc782a92fca8fdc0def04c653af7fe7de90a5b57d98b0d6e2af736dcc,75e978026e3ce68760e631025c9a6e205ae6c2141bfb60a2b2808969e380deb0,c4e924f564a4bf7cbc7080cd0fc2eccfdc61652ed73e22cfc73fae7c3bb96900,ea0b0e4547965a08af426ec0468d93f1586fbcc551dcd6235db348b83de9eabf,4
23652de35a07d2475e55a5d9116ba4ac59cd5502ba685d3aafb27430e7d53cb3,f751eced5465ea5b1b82c576ef5e213c8497a88be7c22bd1533d6741f5388ffa,38aa5ea33786450c590293d4fd36e48798fc1321757b574872063ea49ba80060,e5abc0473e52a39181d9b64a58cca8d65fa861c41ff7d16476e4a09ecb1885d2,5
d1076593061afb414b16bf6237250ecdd6d389a85c416e5ef1d4fea4e94bd7bb,e233b121e2208f97fb2e60ccb979f2bd9fa73f9325e596872908707b1a18cd59,92ac2818a054bd6be814024268459f8bf698f93e29ebcaec740c62100df73d0d,77e4501946a418fb8cd16cd00e6cb6f2021b6ef467fe569ece50f6ec7a3b4da3,2
06445be6a771fce346640f211e83f824e1aa126506576f89bbba39e13fd22c34,6724cd1ac76edd9f53e8f6b13c85d3d63c8913ed8ab8e8a94b1ebb31c8e99fc7,a2d83875990dbdf7c77cad8300164f5b66bf6202037ebcdbe95b692060b01a9e,fa51eaae23b6b22d7fbdfa572f16f2a0ae00a21ac3ef4b69c4d1cd2632638c00,1
3536f315198aa73e0695e598632cebc16affa78a0de4b3819fab1fabf463dddc,f4df65c4feedb4b74dbfb6d551ccb617bdd83af08a787b34290ed492f7b76c5b,6e5f44b575a35445585a576b983811927956a41d9025abcf0aaa579e969f1406,d254e853afa6fa685f7049da8f740e3d406ca4a6cf830493faa47edeef5a3d7e,5
8ae6f8474592c7a2491ed60e687d5136c3af3419bc8334c61e42c2a69214b59f,e817c435eef43896c3220a53fe9617fab9f699022f19ecde4d138ae4f1653b47,b83c79ee6d44dcdc75d838928cdf0ba3c3bf7465e8ea00d9dc1c9eba1c978059,78d3108628ab4a033682247ce0ead44154abe866c172cc7d3188907eefe77fd9,1
